date,account_id,service,region,environment,cost_usd,usage_type,pricing_model,project,owner,currency
2026-01-05,1336,CloudFront,us-west-2,Dev,13.03,Network,On-Demand,WebApp,DevOps,USD
2026-01-05,1027,Amazon S3,eu-central-1,QA,48.94,Compute,Reserved,Analytics,DevOps,USD
2026-01-05,1006,AWS Lambda,eu-central-1,Production,85.22,Network,Spot,FinOps,DataTeam,USD
2026-01-06,1805,Amazon S3,eu-central-1,Production,28.03,Compute,Spot,FinOps,DataTeam,USD
2026-01-06,1272,Amazon EC2,eu-central-1,QA,36.11,Compute,On-Demand,FinOps,Miguel,USD
2026-01-06,1393,Amazon RDS,eu-central-1,Dev,52.35,Network,Spot,Analytics,DataTeam,USD
2026-01-06,1747,Amazon EC2,eu-central-1,QA,31.96,Storage,Reserved,Analytics,DevOps,USD
2026-01-06,1876,AWS Lambda,us-west-2,Dev,93.7,Compute,Reserved,FinOps,DataTeam,USD
2026-01-06,1349,Amazon RDS,eu-central-1,QA,32.08,Network,Spot,FinOps,DevOps,USD
2026-01-06,1242,AWS Lambda,eu-central-1,Dev,98.33,Network,Reserved,Analytics,DevOps,USD
2026-01-06,1846,Amazon RDS,us-west-2,QA,29.5,Storage,Spot,Analytics,Miguel,USD
2026-01-06,1846,Amazon S3,eu-central-1,QA,31.6,Compute,Reserved,Analytics,DataTeam,USD
2026-01-06,1786,Amazon RDS,us-east-1,Dev,55.33,Compute,Reserved,Analytics,DataTeam,USD
2026-01-06,1893,CloudFront,eu-central-1,Production,50.71,Network,Spot,FinOps,DataTeam,USD
2026-01-06,1009,Amazon S3,us-east-1,Production,57.15,Storage,On-Demand,Analytics,Miguel,USD
2026-01-06,1328,CloudFront,us-east-1,Dev,61.59,Storage,Spot,WebApp,DataTeam,USD
2026-01-06,1580,Amazon EC2,us-west-2,QA,16.81,Network,On-Demand,Analytics,DevOps,USD
2026-01-06,1512,AWS Lambda,us-west-2,Dev,18.28,Compute,On-Demand,Analytics,DataTeam,USD
2026-01-06,1724,AWS Lambda,us-east-1,Dev,27.39,Storage,Reserved,Analytics,Miguel,USD
2026-01-06,1041,CloudFront,us-east-1,QA,82.58,Network,Reserved,WebApp,Miguel,USD
2026-01-06,1022,Amazon EC2,eu-central-1,Production,59.86,Compute,On-Demand,WebApp,DevOps,USD
2026-01-06,1973,Amazon S3,us-east-1,Production,56.57,Storage,Reserved,WebApp,DevOps,USD
2026-01-06,1967,AWS Lambda,us-west-2,Production,88.47,Compute,Reserved,WebApp,DevOps,USD
2026-01-07,1156,Amazon RDS,us-west-2,Dev,34.61,Compute,Spot,WebApp,Miguel,USD
2026-01-07,1597,Amazon RDS,us-west-2,QA,51.93,Storage,On-Demand,Analytics,DataTeam,USD
2026-01-07,1158,CloudFront,eu-central-1,Dev,17.11,Network,On-Demand,FinOps,Miguel,USD
2026-01-07,1843,Amazon RDS,us-east-1,QA,6.16,Network,Spot,Analytics,DevOps,USD
2026-01-07,1068,AWS Lambda,eu-central-1,QA,91.3,Storage,Reserved,WebApp,DevOps,USD
2026-01-07,1301,Amazon S3,eu-central-1,QA,60.69,Storage,Reserved,FinOps,Miguel,USD
2026-01-07,1682,Amazon RDS,us-east-1,Dev,72.19,Storage,On-Demand,WebApp,DataTeam,USD
2026-01-07,1050,Amazon EC2,us-east-1,QA,93.76,Storage,Spot,WebApp,Miguel,USD
2026-01-07,1404,CloudFront,us-west-2,QA,22.7,Network,On-Demand,FinOps,DevOps,USD
2026-01-07,1935,AWS Lambda,eu-central-1,Dev,41.03,Compute,On-Demand,Analytics,Miguel,USD
2026-01-07,1665,CloudFront,us-east-1,Production,42.83,Compute,Reserved,WebApp,DataTeam,USD
2026-01-07,1902,Amazon S3,us-west-2,Production,75.06,Compute,Spot,WebApp,DevOps,USD
2026-01-07,1181,AWS Lambda,us-east-1,Production,20.72,Compute,On-Demand,FinOps,Miguel,USD
2026-01-07,1661,AWS Lambda,us-west-2,QA,68.04,Network,On-Demand,FinOps,Miguel,USD
2026-01-07,1629,Amazon RDS,us-west-2,Production,99.7,Compute,Spot,FinOps,Miguel,USD
2026-01-07,1890,AWS Lambda,eu-central-1,QA,24.49,Compute,On-Demand,FinOps,Miguel,USD
2026-01-07,1017,AWS Lambda,us-east-1,QA,72.84,Storage,Reserved,Analytics,Miguel,USD
2026-01-07,1221,Amazon S3,us-west-2,Production,19.75,Compute,On-Demand,WebApp,DevOps,USD
2026-01-07,1799,AWS Lambda,us-west-2,QA,90.26,Storage,On-Demand,WebApp,DevOps,USD
2026-01-07,1799,Amazon RDS,us-west-2,Production,67.6,Compute,On-Demand,WebApp,DevOps,USD
2026-01-08,1766,AWS Lambda,us-east-1,QA,37.23,Compute,Spot,WebApp,Miguel,USD
2026-01-08,1263,Amazon RDS,us-west-2,Production,28.1,Storage,Reserved,WebApp,Miguel,USD
2026-01-08,1909,CloudFront,eu-central-1,Production,90.15,Network,Reserved,WebApp,Miguel,USD
2026-01-08,1146,CloudFront,us-east-1,Production,60.39,Storage,Reserved,FinOps,DevOps,USD
2026-01-08,1915,CloudFront,eu-central-1,QA,83.39,Network,Spot,WebApp,Miguel,USD
2026-01-08,1933,CloudFront,us-west-2,Dev,46.43,Network,Reserved,Analytics,Miguel,USD
2026-01-08,1157,Amazon S3,eu-central-1,QA,49.75,Compute,Reserved,WebApp,Miguel,USD
2026-01-08,1551,Amazon EC2,us-west-2,Dev,43.24,Compute,Reserved,Analytics,DevOps,USD
2026-01-08,1665,Amazon RDS,us-west-2,Dev,21.31,Network,On-Demand,WebApp,DataTeam,USD
2026-01-08,1127,Amazon S3,us-east-1,QA,59.77,Storage,Reserved,FinOps,Miguel,USD
2026-01-08,1997,Amazon EC2,us-west-2,Production,15.12,Storage,On-Demand,WebApp,Miguel,USD
2026-01-08,1167,AWS Lambda,us-west-2,Dev,68.18,Network,Reserved,FinOps,Miguel,USD
2026-01-08,1980,Amazon S3,us-west-2,QA,45.09,Storage,Reserved,WebApp,Miguel,USD
2026-01-08,1692,AWS Lambda,eu-central-1,QA,11.48,Network,Spot,FinOps,DevOps,USD
2026-01-08,1309,AWS Lambda,us-west-2,Production,68.05,Storage,Reserved,FinOps,Miguel,USD
2026-01-08,1547,Amazon S3,eu-central-1,Production,61.53,Network,On-Demand,Analytics,DevOps,USD
2026-01-08,1481,CloudFront,us-east-1,QA,50.05,Compute,On-Demand,FinOps,Miguel,USD
2026-01-08,1060,Amazon EC2,eu-central-1,QA,48.67,Network,Spot,Analytics,Miguel,USD
2026-01-08,1171,Amazon RDS,eu-central-1,QA,5.5,Network,On-Demand,WebApp,DevOps,USD
2026-01-08,1956,Amazon EC2,us-east-1,QA,70.6,Compute,Spot,Analytics,DevOps,USD
2026-01-09,1080,CloudFront,eu-central-1,Dev,70.77,Storage,On-Demand,Analytics,Miguel,USD
2026-01-09,1654,Amazon RDS,eu-central-1,QA,9.9,Storage,Spot,Analytics,DevOps,USD
2026-01-09,1918,Amazon EC2,us-west-2,Dev,49.95,Network,Reserved,WebApp,Miguel,USD
2026-01-09,1882,Amazon EC2,us-west-2,Production,94.71,Storage,Spot,Analytics,DevOps,USD
2026-01-09,1401,AWS Lambda,eu-central-1,QA,66.23,Storage,Spot,WebApp,Miguel,USD
2026-01-09,1130,Amazon S3,us-east-1,Production,37.29,Network,Spot,WebApp,DevOps,USD
2026-01-09,1515,Amazon EC2,us-east-1,QA,35.28,Storage,On-Demand,FinOps,DataTeam,USD
2026-01-09,1893,Amazon RDS,us-west-2,Production,48.88,Storage,Reserved,WebApp,DevOps,USD
2026-01-09,1140,CloudFront,us-west-2,Production,11.65,Storage,On-Demand,Analytics,Miguel,USD
2026-01-09,1317,CloudFront,us-east-1,Dev,60.17,Network,On-Demand,Analytics,DataTeam,USD
2026-01-09,1358,Amazon EC2,us-east-1,Dev,27.68,Network,On-Demand,Analytics,DataTeam,USD
2026-01-09,1323,Amazon S3,us-west-2,QA,60.97,Compute,On-Demand,Analytics,DevOps,USD
2026-01-09,1398,Amazon EC2,us-east-1,Dev,69.57,Network,Reserved,FinOps,Miguel,USD
2026-01-09,1938,CloudFront,us-west-2,Production,88.52,Storage,Spot,Analytics,Miguel,USD
2026-01-09,1152,Amazon S3,eu-central-1,Production,43.15,Compute,Spot,Analytics,Miguel,USD
2026-01-09,1492,AWS Lambda,us-west-2,QA,9.46,Compute,Reserved,FinOps,Miguel,USD
2026-01-09,1258,Amazon S3,us-west-2,Dev,10.5,Network,Spot,FinOps,Miguel,USD
2026-01-09,1019,AWS Lambda,us-west-2,Dev,21.52,Storage,Spot,Analytics,DataTeam,USD
2026-01-09,1215,Amazon EC2,eu-central-1,Production,26.32,Compute,Spot,FinOps,Miguel,USD
2026-01-09,1909,Amazon RDS,us-east-1,QA,48.46,Network,Spot,FinOps,Miguel,USD
2026-01-10,1920,AWS Lambda,us-west-2,QA,81.9,Compute,On-Demand,WebApp,DevOps,USD
2026-01-10,1983,Amazon S3,eu-central-1,QA,29.68,Compute,Reserved,Analytics,DataTeam,USD
2026-01-10,1315,CloudFront,us-east-1,Dev,99.19,Storage,On-Demand,Analytics,Miguel,USD
2026-01-10,1697,AWS Lambda,eu-central-1,QA,56.66,Compute,On-Demand,FinOps,DataTeam,USD
2026-01-10,1335,AWS Lambda,us-east-1,Production,87.39,Compute,On-Demand,WebApp,Miguel,USD
2026-01-10,1692,Amazon EC2,us-west-2,Production,71.4,Network,On-Demand,WebApp,Miguel,USD
2026-01-10,1760,Amazon S3,eu-central-1,Production,83.45,Storage,Spot,FinOps,DataTeam,USD
2026-01-10,1355,Amazon S3,us-west-2,QA,76.88,Network,Reserved,FinOps,DataTeam,USD
2026-01-10,1112,AWS Lambda,us-east-1,Dev,16.01,Storage,On-Demand,WebApp,DataTeam,USD
2026-01-10,1413,AWS Lambda,eu-central-1,QA,46.06,Storage,Spot,WebApp,DataTeam,USD
2026-01-10,1988,CloudFront,us-west-2,QA,94.99,Compute,Reserved,FinOps,DataTeam,USD
2026-01-10,1021,Amazon EC2,us-west-2,Production,85.98,Storage,Spot,FinOps,DevOps,USD
2026-01-10,1947,AWS Lambda,us-east-1,Production,11.23,Compute,Reserved,WebApp,DevOps,USD
2026-01-10,1458,AWS Lambda,us-west-2,Production,47.36,Storage,Reserved,FinOps,Miguel,USD
2026-01-10,1396,AWS Lambda,us-east-1,Production,55.07,Compute,On-Demand,WebApp,DataTeam,USD
2026-01-10,1021,Amazon RDS,eu-central-1,Production,87.47,Storage,On-Demand,FinOps,DevOps,USD
2026-01-10,1954,CloudFront,us-west-2,Production,31.05,Network,Spot,FinOps,DataTeam,USD
2026-01-10,1933,Amazon RDS,eu-central-1,QA,25.24,Compute,On-Demand,Analytics,DevOps,USD
2026-01-10,1207,Amazon RDS,eu-central-1,QA,24.35,Compute,On-Demand,WebApp,DevOps,USD
2026-01-10,1198,Amazon S3,eu-central-1,Dev,17.47,Compute,Reserved,WebApp,DataTeam,USD
2026-01-11,1733,Amazon EC2,us-west-2,Production,16.89,Compute,Reserved,FinOps,DevOps,USD
2026-01-11,1116,CloudFront,us-west-2,Production,98.51,Compute,On-Demand,Analytics,DataTeam,USD
2026-01-11,1365,Amazon S3,eu-central-1,Production,73.58,Network,On-Demand,FinOps,Miguel,USD
2026-01-11,1101,Amazon RDS,us-east-1,Production,50.65,Compute,On-Demand,FinOps,DataTeam,USD
2026-01-11,1659,Amazon RDS,us-east-1,QA,78.7,Storage,On-Demand,Analytics,Miguel,USD
2026-01-11,1744,Amazon EC2,us-east-1,QA,8.15,Storage,Reserved,WebApp,DataTeam,USD
2026-01-11,1685,Amazon S3,us-west-2,QA,83.04,Storage,Spot,FinOps,DevOps,USD
2026-01-11,1962,CloudFront,eu-central-1,QA,61.5,Compute,Spot,WebApp,Miguel,USD
2026-01-11,1715,Amazon S3,us-west-2,QA,79.43,Network,Spot,WebApp,DevOps,USD
2026-01-11,1083,AWS Lambda,us-west-2,QA,79.46,Network,Spot,WebApp,Miguel,USD
2026-01-11,1873,Amazon RDS,us-west-2,Production,73.86,Network,On-Demand,FinOps,Miguel,USD
2026-01-11,1121,AWS Lambda,eu-central-1,Production,49.67,Compute,On-Demand,WebApp,Miguel,USD
2026-01-11,1811,AWS Lambda,us-west-2,QA,73.32,Storage,On-Demand,FinOps,DevOps,USD
2026-01-11,1923,AWS Lambda,us-west-2,Production,69.62,Compute,Reserved,WebApp,DevOps,USD
2026-01-11,1902,Amazon EC2,us-east-1,QA,96.27,Storage,On-Demand,FinOps,DataTeam,USD
2026-01-11,1955,Amazon RDS,us-west-2,Dev,53.83,Compute,Reserved,FinOps,DataTeam,USD
2026-01-11,1577,Amazon RDS,eu-central-1,QA,80.33,Network,Reserved,WebApp,DevOps,USD
2026-01-11,1245,Amazon S3,us-east-1,Production,64.18,Compute,Spot,FinOps,DevOps,USD
2026-01-11,1519,Amazon S3,us-west-2,Production,65.09,Storage,Reserved,Analytics,DevOps,USD
2026-01-11,1836,CloudFront,us-west-2,Dev,46.53,Storage,On-Demand,WebApp,DataTeam,USD
2026-01-12,1083,Amazon EC2,us-west-2,Production,20.53,Network,On-Demand,FinOps,DataTeam,USD
2026-01-12,1228,AWS Lambda,us-east-1,Production,60.9,Compute,Spot,WebApp,DevOps,USD
2026-01-12,1009,AWS Lambda,eu-central-1,QA,21.13,Storage,On-Demand,Analytics,DataTeam,USD
2026-01-12,1256,Amazon EC2,us-east-1,Production,95.12,Compute,Reserved,FinOps,DevOps,USD
2026-01-12,1686,CloudFront,us-east-1,Dev,79.27,Network,Spot,Analytics,DevOps,USD
2026-01-12,1915,CloudFront,us-west-2,QA,10.42,Network,On-Demand,Analytics,Miguel,USD
2026-01-12,1118,Amazon EC2,eu-central-1,QA,22.1,Network,On-Demand,FinOps,Miguel,USD
2026-01-12,1205,AWS Lambda,us-west-2,Dev,50.59,Network,Spot,Analytics,DataTeam,USD
2026-01-12,1305,Amazon EC2,us-east-1,Dev,60.11,Network,Spot,Analytics,DevOps,USD
2026-01-12,1293,Amazon RDS,eu-central-1,QA,34.25,Storage,Reserved,WebApp,DataTeam,USD
2026-01-12,1128,CloudFront,eu-central-1,Dev,47.16,Compute,Spot,Analytics,DevOps,USD
2026-01-12,1192,Amazon S3,eu-central-1,Production,94.74,Storage,Reserved,Analytics,DataTeam,USD
2026-01-12,1537,Amazon EC2,eu-central-1,Dev,7.89,Compute,Reserved,FinOps,Miguel,USD
2026-01-12,1286,AWS Lambda,us-west-2,Dev,68.36,Compute,Reserved,Analytics,DataTeam,USD
2026-01-12,1703,Amazon S3,us-west-2,Production,97.83,Compute,On-Demand,FinOps,Miguel,USD
2026-01-12,1588,CloudFront,eu-central-1,Dev,15.37,Storage,On-Demand,Analytics,DataTeam,USD
2026-01-12,1613,Amazon RDS,eu-central-1,QA,90.63,Compute,On-Demand,WebApp,DevOps,USD
2026-01-12,1330,CloudFront,us-east-1,QA,56.73,Compute,On-Demand,WebApp,Miguel,USD
2026-01-12,1710,Amazon RDS,eu-central-1,Dev,41.14,Compute,On-Demand,FinOps,Miguel,USD
2026-01-12,1290,Amazon EC2,us-west-2,QA,60.77,Storage,Reserved,Analytics,DataTeam,USD
2026-01-13,1002,Amazon EC2,us-east-1,QA,95.39,Storage,Reserved,FinOps,Miguel,USD
2026-01-13,1664,Amazon S3,us-east-1,QA,55.03,Network,Spot,WebApp,DevOps,USD
2026-01-13,1363,Amazon S3,eu-central-1,Production,6.73,Network,Spot,WebApp,DevOps,USD
2026-01-13,1123,CloudFront,eu-central-1,Dev,67.2,Network,Spot,FinOps,Miguel,USD
2026-01-13,1801,AWS Lambda,us-west-2,Dev,63.65,Compute,Reserved,WebApp,Miguel,USD
2026-01-13,1290,Amazon RDS,us-west-2,QA,73.03,Compute,On-Demand,Analytics,Miguel,USD
2026-01-13,1262,AWS Lambda,eu-central-1,QA,80.98,Network,Spot,WebApp,Miguel,USD
2026-01-13,1444,Amazon S3,us-west-2,QA,81.57,Compute,On-Demand,Analytics,DevOps,USD
2026-01-13,1140,AWS Lambda,eu-central-1,QA,82.82,Storage,On-Demand,Analytics,Miguel,USD
2026-01-13,1983,Amazon S3,us-west-2,Dev,84.79,Compute,Reserved,WebApp,Miguel,USD
2026-01-13,1049,Amazon RDS,eu-central-1,Production,68.42,Storage,Spot,Analytics,Miguel,USD
2026-01-13,1580,Amazon S3,eu-central-1,Dev,75.0,Storage,On-Demand,WebApp,Miguel,USD
2026-01-13,1661,Amazon EC2,us-east-1,Production,26.87,Network,Spot,Analytics,Miguel,USD
2026-01-13,1508,CloudFront,us-east-1,QA,18.47,Network,Spot,FinOps,DataTeam,USD
2026-01-13,1553,AWS Lambda,us-west-2,Dev,73.17,Compute,Spot,WebApp,DataTeam,USD
2026-01-13,1579,AWS Lambda,us-west-2,QA,59.95,Network,On-Demand,Analytics,Miguel,USD
2026-01-13,1675,Amazon EC2,eu-central-1,Dev,35.72,Network,Reserved,FinOps,DevOps,USD
2026-01-13,1780,Amazon RDS,us-east-1,QA,68.61,Network,On-Demand,Analytics,DataTeam,USD
2026-01-13,1811,AWS Lambda,us-east-1,QA,36.64,Storage,Reserved,WebApp,DataTeam,USD
2026-01-13,1802,Amazon EC2,us-west-2,Production,49.19,Storage,Reserved,FinOps,Miguel,USD
2026-01-14,1286,CloudFront,eu-central-1,Dev,21.2,Storage,Reserved,Analytics,Miguel,USD
